SD,SGG,Last Name,Population
서울특별시,용산구,유(柳),2359
서울특별시,용산구,육(陸),112
서울특별시,용산구,윤(尹),4372
서울특별시,용산구,은(殷),105
서울특별시,용산구,음(陰),26
서울특별시,용산구,이(李),32306
서울특별시,용산구,인(印),106
서울특별시,용산구,임(任),957
서울특별시,용산구,임(林),3494
서울특별시,용산구,장(張),4342
서울특별시,용산구,장(章),20
서울특별시,용산구,장(蔣),92
서울특별시,용산구,전(全),2264
서울특별시,용산구,전(田),804
서울특별시,용산구,전(錢),28
서울특별시,용산구,정(丁),1046
서울특별시,용산구,정(程),43
서울특별시,용산구,정(鄭),8824
서울특별시,용산구,제(諸),85
서울특별시,용산구,제갈(諸葛),32
서울특별시,용산구,조(曺),1494
서울특별시,용산구,조(趙),4825
서울특별시,용산구,좌(左),0
서울특별시,용산구,주(周),134
서울특별시,용산구,주(朱),864
서울특별시,용산구,지(智),47
서울특별시,용산구,지(池),726
서울특별시,용산구,진(晋),39
서울특별시,용산구,진(秦),114
서울특별시,용산구,진(陣),6
서울특별시,용산구,진(陳),641
서울특별시,용산구,차(車),825
서울특별시,용산구,채(蔡),598
서울특별시,용산구,천(千),405
서울특별시,용산구,최(催),16
서울특별시,용산구,최(崔),9823
서울특별시,용산구,추(秋),231
서울특별시,용산구,탁(卓),97
서울특별시,용산구,태(太),42
서울특별시,용산구,팽(彭),12
서울특별시,용산구,편(片),68
서울특별시,용산구,표(表),157
서울특별시,용산구,피(皮),42
서울특별시,용산구,하(夏),13
서울특별시,용산구,하(河),868
서울특별시,용산구,한(韓),3728
서울특별시,용산구,함(咸),335
서울특별시,용산구,허(許),1375
서울특별시,용산구,현(玄),374
서울특별시,용산구,형(邢),26
서울특별시,용산구,호(扈),31
서울특별시,용산구,호(胡),23
서울특별시,용산구,홍(洪),2575
서울특별시,용산구,황(黃),2916
서울특별시,용산구,황보(皇甫),40
서울특별시,성동구,가(賈),49
서울특별시,성동구,간(簡),15
서울특별시,성동구,갈(葛),10
서울특별시,성동구,감(甘),17
서울특별시,성동구,강(姜),6308
서울특별시,성동구,강(康),565
서울특별시,성동구,견(甄),0
서울특별시,성동구,경(慶),92
서울특별시,성동구,경(景),29
서울특별시,성동구,계(桂),46
서울특별시,성동구,고(高),2530
서울특별시,성동구,공(孔),546
서울특별시,성동구,곽(郭),1113
서울특별시,성동구,구(丘),84
서울특별시,성동구,구(具),1064
서울특별시,성동구,국(鞠),117
서울특별시,성동구,권(權),3670
서울특별시,성동구,금(琴),143
서울특별시,성동구,기(奇),168
서울특별시,성동구,기타,1073
서울특별시,성동구,길(吉),216
서울특별시,성동구,김(金),60783
서울특별시,성동구,나(羅),1103
서울특별시,성동구,남(南),1537
서울특별시,성동구,남궁(南宮),162
서울특별시,성동구,노(盧),1550
서울특별시,성동구,노(魯),340
서울특별시,성동구,단(段),28
서울특별시,성동구,당(唐),0
서울특별시,성동구,도(都),243
서울특별시,성동구,도(陶),6
서울특별시,성동구,동(董),50
서울특별시,성동구,두(杜),42
서울특별시,성동구,라(羅),141
서울특별시,성동구,류(柳),773
서울특별시,성동구,마(馬),247
서울특별시,성동구,맹(孟),145
서울특별시,성동구,명(明),140
서울특별시,성동구,모(牟),145
서울특별시,성동구,목(睦),48
서울특별시,성동구,문(文),2655
서울특별시,성동구,민(閔),1161
서울특별시,성동구,박(朴),23158
서울특별시,성동구,반(潘),184
서울특별시,성동구,방(房),178
서울특별시,성동구,방(方),518
서울특별시,성동구,배(裵),2041
서울특별시,성동구,백(白),2334
서울특별시,성동구,범(范),29
서울특별시,성동구,변(卞),364
서울특별시,성동구,변(邊),411
서울특별시,성동구,복(卜),27
서울특별시,성동구,봉(奉),85
서울특별시,성동구,부(夫),42
서울특별시,성동구,빈(賓),46
서울특별시,성동구,사(史),65
서울특별시,성동구,사공(司空),5
